Date,Description,Amount,Balance
10/15/2021 11:17AM,Tapingo Talley-Jasons Deli - Tax,-0.43,0.13
10/15/2021 11:17AM,Tapingo Talley-Jasons Deli,-5.22,0.13
10/15/2021 08:05AM,Tapingo-Smoothie U - Tax,-0.49,5.78
10/15/2021 08:05AM,Tapingo-Smoothie U,-5.98,5.78
10/14/2021 06:48PM,Tapingo Talley-Los Lobos - Tax,-1.09,12.25
10/14/2021 06:48PM,Tapingo Talley-Los Lobos,-13.26,12.25
10/14/2021 12:12PM,Tapingo Talley-Jasons Deli - Tax,-0.65,26.60
10/14/2021 12:12PM,Tapingo Talley-Jasons Deli,-7.87,26.60
10/14/2021 10:04AM,Tapingo-Smoothie U - Tax,-0.49,35.12
10/14/2021 10:04AM,Tapingo-Smoothie U,-5.98,35.12
10/13/2021 06:01PM,Tapingo Talley-Los Lobos - Tax,-0.23,41.59
10/13/2021 06:01PM,Tapingo Talley-Los Lobos,-2.84,41.59
10/13/2021 12:42PM,Tapingo Talley-Jasons Deli - Tax,-0.65,44.66
10/13/2021 12:42PM,Tapingo Talley-Jasons Deli,-7.87,44.66
10/13/2021 12:23PM,Tapingo-Smoothie U - Tax,-0.49,53.18
10/13/2021 12:23PM,Tapingo-Smoothie U,-5.98,53.18
10/12/2021 06:31PM,Tapingo Talley-Los Lobos - Tax,-0.96,59.65
10/12/2021 06:31PM,Tapingo Talley-Los Lobos,-11.66,59.65
10/12/2021 12:29PM,Tapingo Talley-Jasons Deli - Tax,-0.65,72.27
10/12/2021 12:29PM,Tapingo Talley-Jasons Deli,-7.87,72.27
10/12/2021 09:58AM,Tapingo-Smoothie U - Tax,-0.49,80.79
10/12/2021 09:58AM,Tapingo-Smoothie U,-5.98,80.79
10/11/2021 06:27PM,Tapingo Talley-Los Lobos - Tax,-0.96,87.26
10/11/2021 06:27PM,Tapingo Talley-Los Lobos,-11.66,87.26
10/11/2021 04:08PM,Tapingo PCJ-Talley - Tax,-0.54,99.88
10/11/2021 04:08PM,Tapingo PCJ-Talley,-6.55,99.88
10/11/2021 11:49AM,Tapingo Talley-Jasons Deli - Tax,-0.65,106.97
10/11/2021 11:49AM,Tapingo Talley-Jasons Deli,-7.87,106.97
10/11/2021 10:53AM,Tapingo-Smoothie U - Tax,-0.49,115.49
10/11/2021 10:53AM,Tapingo-Smoothie U,-5.98,115.49
10/09/2021 11:21AM,Tapingo Talley-Jasons Deli - Tax,-0.65,121.96
10/09/2021 11:21AM,Tapingo Talley-Jasons Deli,-7.87,121.96
10/09/2021 11:20AM,Tapingo PCJ-Talley - Tax,-1.05,130.48
10/09/2021 11:20AM,Tapingo PCJ-Talley,-12.72,130.48
10/08/2021 05:44PM,Tapingo Talley-Los Lobos - Tax,-1.09,144.25
10/08/2021 05:44PM,Tapingo Talley-Los Lobos,-13.26,144.25
10/08/2021 12:34PM,Tapingo-Smoothie U - Tax,-0.49,158.60
10/08/2021 12:34PM,Tapingo-Smoothie U,-5.98,158.60
10/08/2021 12:33PM,Tapingo Talley-Jasons Deli - Tax,-0.65,165.07
10/08/2021 12:33PM,Tapingo Talley-Jasons Deli,-7.87,165.07
10/07/2021 06:22PM,Tapingo Talley-Los Lobos - Tax,-1.09,173.59
10/07/2021 06:22PM,Tapingo Talley-Los Lobos,-13.26,173.59
10/07/2021 02:17PM,Tapingo Talley-Jasons Deli - Tax,-0.96,187.94
10/07/2021 02:17PM,Tapingo Talley-Jasons Deli,-11.66,187.94
10/07/2021 11:17AM,Tapingo-Smoothie U - Tax,-0.49,200.56
10/07/2021 11:17AM,Tapingo-Smoothie U,-5.98,200.56
10/06/2021 06:12PM,Tapingo Talley-Los Lobos - Tax,-1.09,207.03
10/06/2021 06:12PM,Tapingo Talley-Los Lobos,-13.26,207.03
10/06/2021 12:36PM,Tapingo Talley-Jasons Deli - Tax,-0.65,221.38
10/06/2021 12:36PM,Tapingo Talley-Jasons Deli,-7.87,221.38
10/06/2021 10:20AM,Tapingo-Smoothie U - Tax,-0.50,229.90
10/06/2021 10:20AM,Tapingo-Smoothie U,-6.03,229.90
10/05/2021 06:40PM,Tapingo Oval-Gravy - Tax,-0.41,236.43
10/05/2021 06:40PM,Tapingo Oval-Gravy,-5.03,236.43
10/05/2021 02:41PM,Tapingo PCJ-Talley - Tax,-0.51,241.87
10/05/2021 02:41PM,Tapingo PCJ-Talley,-6.17,241.87
10/05/2021 02:41PM,Tapingo Talley-Jasons Deli - Tax,-0.65,248.55
10/05/2021 02:41PM,Tapingo Talley-Jasons Deli,-7.87,248.55
10/04/2021 11:54AM,Tapingo PCJ-Talley - Tax,-0.51,257.07
10/04/2021 11:54AM,Tapingo PCJ-Talley,-6.17,257.07
10/01/2021 05:08PM,Tapingo Talley-Los Lobos - Tax,-1.09,263.75
10/01/2021 05:08PM,Tapingo Talley-Los Lobos,-13.26,263.75
10/01/2021 12:01PM,Tapingo-Smoothie U - Tax,-0.49,278.10
10/01/2021 12:01PM,Tapingo-Smoothie U,-5.98,278.10
10/01/2021 12:00PM,Tapingo Talley-Jasons Deli - Tax,-0.65,284.57
10/01/2021 12:00PM,Tapingo Talley-Jasons Deli,-7.87,284.57
9/30/2021 05:08PM,Tapingo Talley-Los Lobos - Tax,-1.09,293.09
9/30/2021 05:08PM,Tapingo Talley-Los Lobos,-13.26,293.09
9/30/2021 01:01PM,Tapingo Talley-Jasons Deli - Tax,-0.78,307.44
9/30/2021 01:01PM,Tapingo Talley-Jasons Deli,-9.47,307.44
9/30/2021 09:40AM,Tapingo-Smoothie U - Tax,-0.49,317.69
9/30/2021 09:40AM,Tapingo-Smoothie U,-5.98,317.69
9/29/2021 12:40PM,Tapingo Talley-Los Lobos - Tax,-1.09,324.16
9/29/2021 12:40PM,Tapingo Talley-Los Lobos,-13.26,324.16
9/29/2021 10:27AM,Tapingo-Smoothie U - Tax,-0.49,338.51
9/29/2021 10:27AM,Tapingo-Smoothie U,-5.98,338.51
9/28/2021 12:45PM,Tapingo-Smoothie U - Tax,-0.44,344.98
9/28/2021 12:45PM,Tapingo-Smoothie U,-5.37,344.98
9/28/2021 12:43PM,Tapingo Talley-Los Lobos - Tax,-1.09,350.79
9/28/2021 12:43PM,Tapingo Talley-Los Lobos,-13.26,350.79
9/27/2021 01:16PM,Tapingo PCJ-Talley - Tax,-0.51,365.14
9/27/2021 01:16PM,Tapingo PCJ-Talley,-6.17,365.14
9/27/2021 01:04PM,Tapingo Talley-Jasons Deli - Tax,-0.86,371.82
9/27/2021 01:04PM,Tapingo Talley-Jasons Deli,-10.43,371.82
9/27/2021 09:24AM,Tapingo-Smoothie U - Tax,-0.44,383.11
9/27/2021 09:24AM,Tapingo-Smoothie U,-5.37,383.11
9/26/2021 05:31PM,Tapingo Talley-Los Lobos - Tax,-1.09,388.92
9/26/2021 05:31PM,Tapingo Talley-Los Lobos,-13.26,388.92
9/23/2021 07:24PM,Tapingo Talley-Los Lobos - Tax,-0.86,403.27
9/23/2021 07:24PM,Tapingo Talley-Los Lobos,-10.42,403.27
9/23/2021 02:44PM,Tapingo-Smoothie U - Tax,-0.44,414.55
9/23/2021 02:44PM,Tapingo-Smoothie U,-5.37,414.55
9/23/2021 02:43PM,Tapingo Talley-Jasons Deli - Tax,-0.86,420.36
9/23/2021 02:43PM,Tapingo Talley-Jasons Deli,-10.43,420.36
9/22/2021 06:59PM,Tapingo Talley-Los Lobos - Tax,-0.86,431.65
9/22/2021 06:59PM,Tapingo Talley-Los Lobos,-10.42,431.65
9/22/2021 06:57PM,Tapingo-Smoothie U - Tax,-0.44,442.93
9/22/2021 06:57PM,Tapingo-Smoothie U,-5.37,442.93
9/21/2021 03:01PM,Tapingo-Smoothie U - Tax,-0.44,448.74
9/21/2021 03:01PM,Tapingo-Smoothie U,-5.37,448.74
9/21/2021 03:01PM,Tapingo Talley-Jasons Deli - Tax,-0.65,454.55
9/21/2021 03:01PM,Tapingo Talley-Jasons Deli,-7.87,454.55
9/20/2021 06:51PM,Tapingo-Smoothie U - Tax,-0.44,463.07
9/20/2021 06:51PM,Tapingo-Smoothie U,-5.37,463.07
9/20/2021 06:48PM,Tapingo Talley-Los Lobos - Tax,-0.86,468.88
9/20/2021 06:48PM,Tapingo Talley-Los Lobos,-10.42,468.88
9/20/2021 01:05PM,Tapingo Talley-Jasons Deli - Tax,-0.65,480.16
9/20/2021 01:05PM,Tapingo Talley-Jasons Deli,-7.87,480.16
9/20/2021 01:04PM,Tapingo-Smoothie U - Tax,-0.44,488.68
9/20/2021 01:04PM,Tapingo-Smoothie U,-5.37,488.68
9/18/2021 05:35PM,Tapingo PCJ-Talley - Tax,-0.82,494.49
9/18/2021 05:35PM,Tapingo PCJ-Talley,-9.96,494.49
9/17/2021 07:33PM,Tapingo Talley-Los Lobos - Tax,-0.86,505.27
9/17/2021 07:33PM,Tapingo Talley-Los Lobos,-10.42,505.27
9/16/2021 06:02PM,Tapingo-Smoothie U - Tax,-0.44,516.55
9/16/2021 06:02PM,Tapingo-Smoothie U,-5.37,516.55
9/16/2021 05:45PM,Tapingo Talley-Los Lobos - Tax,-1.09,522.36
9/16/2021 05:45PM,Tapingo Talley-Los Lobos,-13.26,522.36
9/14/2021 06:04PM,Tapingo Talley-Los Lobos - Tax,-1.09,536.71
9/14/2021 06:04PM,Tapingo Talley-Los Lobos,-13.26,536.71
9/14/2021 01:06PM,Tapingo-Smoothie U - Tax,-0.49,551.06
9/14/2021 01:06PM,Tapingo-Smoothie U,-5.98,551.06
9/13/2021 03:10PM,Tapingo Talley-Los Lobos - Tax,-1.09,557.53
9/13/2021 03:10PM,Tapingo Talley-Los Lobos,-13.26,557.53
9/12/2021 02:20PM,Tapingo Talley-Los Lobos - Tax,-1.09,571.88
9/12/2021 02:20PM,Tapingo Talley-Los Lobos,-13.26,571.88
9/12/2021 02:19PM,Tapingo PCJ-Talley - Tax,-0.71,586.23
9/12/2021 02:19PM,Tapingo PCJ-Talley,-8.63,586.23
9/11/2021 07:19PM,Tapingo Talley-Los Lobos - Tax,-1.09,595.57
9/11/2021 07:19PM,Tapingo Talley-Los Lobos,-13.26,595.57
9/11/2021 07:11PM,Tapingo PCJ-Talley - Tax,-0.51,609.92
9/11/2021 07:11PM,Tapingo PCJ-Talley,-6.17,609.92
9/11/2021 01:35PM,Tapingo PCJ-Talley - Tax,-0.51,616.60
9/11/2021 01:35PM,Tapingo PCJ-Talley,-6.17,616.60
9/10/2021 02:38PM,Tapingo PCJ- Parks Shop - Tax,-0.62,623.28
9/10/2021 02:38PM,Tapingo PCJ- Parks Shop,-7.57,623.28
9/10/2021 12:18PM,Tapingo-Smoothie U - Tax,-0.44,631.47
9/10/2021 12:18PM,Tapingo-Smoothie U,-5.31,631.47
9/09/2021 05:55PM,Tapingo Talley-Los Lobos - Tax,-1.09,637.22
9/09/2021 05:55PM,Tapingo Talley-Los Lobos,-13.26,637.22
9/07/2021 05:12PM,Tapingo Talley-Los Lobos - Tax,-1.09,651.57
9/07/2021 05:12PM,Tapingo Talley-Los Lobos,-13.26,651.57
9/07/2021 02:09PM,Tapingo PCJ- Parks Shop - Tax,-0.46,665.92
9/07/2021 02:09PM,Tapingo PCJ- Parks Shop,-5.58,665.92
9/07/2021 10:00AM,Tapingo PCJ- Parks Shop - Tax,-0.87,671.96
9/07/2021 10:00AM,Tapingo PCJ- Parks Shop,-10.50,671.96
9/06/2021 06:24PM,Tapingo Talley-Los Lobos - Tax,-1.09,683.33
9/06/2021 06:24PM,Tapingo Talley-Los Lobos,-13.26,683.33
9/02/2021 04:32PM,Atrium 6077 - Tax,-0.47,697.68
9/02/2021 04:32PM,Atrium 6077,-5.68,697.68
9/01/2021 03:46PM,Tapingo-Smoothie U - Tax,-0.44,703.83
9/01/2021 03:46PM,Tapingo-Smoothie U,-5.31,703.83
8/31/2021 04:23PM,Tapingo Talley-Los Lobos - Tax,-1.09,709.58
8/31/2021 04:23PM,Tapingo Talley-Los Lobos,-13.26,709.58
8/30/2021 04:18PM,Tapingo Talley-Los Lobos - Tax,-1.09,723.93
8/30/2021 04:18PM,Tapingo Talley-Los Lobos,-13.26,723.93
8/28/2021 04:06PM,Tapingo Talley-Los Lobos - Tax,-1.09,738.28
8/28/2021 04:06PM,Tapingo Talley-Los Lobos,-13.26,738.28
8/26/2021 07:19PM,Tapingo Talley-Los Lobos - Tax,-1.09,752.63
8/26/2021 07:19PM,Tapingo Talley-Los Lobos,-13.26,752.63
8/26/2021 01:14PM,Tapingo-Smoothie U - Tax,-0.31,766.98
8/26/2021 01:14PM,Tapingo-Smoothie U,-3.79,766.98
8/26/2021 01:09PM,Atrium 6074 - Tax,-0.49,771.08
8/26/2021 01:09PM,Atrium 6074,-5.87,771.08
8/22/2021 03:02PM,Tapingo Talley-Los Lobos - Tax,-0.86,777.44
8/22/2021 03:02PM,Tapingo Talley-Los Lobos,-10.42,777.44
8/21/2021 05:07PM,Tapingo Talley-Los Lobos - Tax,-0.86,788.72
8/21/2021 05:07PM,Tapingo Talley-Los Lobos,-10.42,788.72
8/19/2021 06:30PM,PatronImport Location - Credit,800.00,800.00
